"gid","x","y","text"
211,-115.498047078263,32.6782404015862,"POINT(-115.498047078263 32.6782404015862)"
212,-119.032362700674,34.2255919578569,"POINT(-119.032362700674 34.2255919578569)"
213,-120.989605403268,38.6765199002821,"POINT(-120.989605403268 38.6765199002821)"
214,-121.95532944013,37.2838970893138,"POINT(-121.95532944013 37.2838970893138)"
215,-121.955061757192,36.9762355545151,"POINT(-121.955061757192 36.9762355545151)"
216,-117.296903570102,33.1219797338121,"POINT(-117.296903570102 33.1219797338121)"
217,-121.321568615799,38.6394296437703,"POINT(-121.321568615799 38.6394296437703)"
218,-119.516621682515,34.399026981668,"POINT(-119.516621682515 34.399026981668)"
219,-118.259711724555,33.8396714591458,"POINT(-118.259711724555 33.8396714591458)"
220,-116.977558081595,32.7633492450611,"POINT(-116.977558081595 32.7633492450611)"
221,-122.079686295443,37.7037871443626,"POINT(-122.079686295443 37.7037871443626)"
222,-116.464798695341,33.8077544767474,"POINT(-116.464798695341 33.8077544767474)"
223,-120.957386559673,37.6013210245052,"POINT(-120.957386559673 37.6013210245052)"
224,-118.067663044752,33.8683023657027,"POINT(-118.067663044752 33.8683023657027)"
225,-122.102578973905,37.6798218880889,"POINT(-122.102578973905 37.6798218880889)"
226,-121.835683855838,39.7399888192724,"POINT(-121.835683855838 39.7399888192724)"
227,-117.690091737047,34.0177551852001,"POINT(-117.690091737047 34.0177551852001)"
228,-117.7231570649,33.9752569699417,"POINT(-117.7231570649 33.9752569699417)"
229,-120.261879234818,37.1179131149598,"POINT(-120.261879234818 37.1179131149598)"
230,-117.048074504373,32.6278997341678,"POINT(-117.048074504373 32.6278997341678)"
231,-117.891894270159,34.1148806764007,"POINT(-117.891894270159 34.1148806764007)"
232,-121.290765306223,38.6947009710158,"POINT(-121.290765306223 38.6947009710158)"
233,-117.719836299811,34.1099992878356,"POINT(-117.719836299811 34.1099992878356)"
234,-121.934477356919,37.9407163408501,"POINT(-121.934477356919 37.9407163408501)"
235,-122.631429000438,38.9527742115649,"POINT(-122.631429000438 38.9527742115649)"
236,-119.694884523518,36.819424250093,"POINT(-119.694884523518 36.819424250093)"
237,-116.174549489692,33.6795159993823,"POINT(-116.174549489692 33.6795159993823)"
238,-120.35850949126,36.1407209526022,"POINT(-120.35850949126 36.1407209526022)"
239,-117.321776737665,34.0649365139364,"POINT(-117.321776737665 34.0649365139364)"
240,-118.154899681299,34.0006013507162,"POINT(-118.154899681299 34.0006013507162)"
241,-118.225200023537,33.896702769564,"POINT(-118.225200023537 33.896702769564)"
242,-122.015424186913,37.9678184032344,"POINT(-122.015424186913 37.9678184032344)"
243,-119.564644090588,36.096007769671,"POINT(-119.564644090588 36.096007769671)"
244,-117.567881342017,33.8699882940666,"POINT(-117.567881342017 33.8699882940666)"
245,-117.172671111133,32.6781793427267,"POINT(-117.172671111133 32.6781793427267)"
246,-117.912400260502,33.6649574963706,"POINT(-117.912400260502 33.6649574963706)"
247,-117.587765186385,33.5959146239917,"POINT(-117.587765186385 33.5959146239917)"
248,-117.879300941348,34.0915986672279,"POINT(-117.879300941348 34.0915986672279)"
249,-117.289987026259,34.24244795393,"POINT(-117.289987026259 34.24244795393)"
250,-118.18269496801,33.9642021362638,"POINT(-118.18269496801 33.9642021362638)"
251,-118.401033537771,34.0077483056618,"POINT(-118.401033537771 34.0077483056618)"
252,-122.042259118939,37.3174800591962,"POINT(-122.042259118939 37.3174800591962)"
253,-118.039160223563,33.8183033553396,"POINT(-118.039160223563 33.8183033553396)"
254,-122.466287642013,37.690689994601,"POINT(-122.466287642013 37.690689994601)"
255,-117.693142301323,33.4721989339992,"POINT(-117.693142301323 33.4721989339992)"
256,-121.974482308606,37.8114682568044,"POINT(-121.974482308606 37.8114682568044)"
257,-121.738346188743,38.5538539898771,"POINT(-121.738346188743 38.5538539898771)"
258,-119.246472057022,35.7696386333216,"POINT(-119.246472057022 35.7696386333216)"
259,-116.508141256294,33.9609895889883,"POINT(-116.508141256294 33.9609895889883)"
260,-117.820867327409,34.0016416709239,"POINT(-117.820867327409 34.0016416709239)"
261,-119.389410216877,36.5448900017544,"POINT(-119.389410216877 36.5448900017544)"
262,-121.827132621272,38.4491052198192,"POINT(-121.827132621272 38.4491052198192)"
263,-118.130919096782,33.9381522846439,"POINT(-118.130919096782 33.9381522846439)"
264,-117.961788656867,34.1404054765638,"POINT(-117.961788656867 34.1404054765638)"
265,-121.912783952655,37.7142206387917,"POINT(-121.912783952655 37.7142206387917)"
266,-116.940385018248,33.7361120731648,"POINT(-116.940385018248 33.7361120731648)"
267,-118.168772047606,34.0314503755895,"POINT(-118.168772047606 34.0314503755895)"
268,-122.140013509873,37.4670269917046,"POINT(-122.140013509873 37.4670269917046)"
269,-118.082168237778,34.1191379573041,"POINT(-118.082168237778 34.1191379573041)"
270,-116.960138486307,32.7982903707712,"POINT(-116.960138486307 32.7982903707712)"
271,-115.558017001349,32.7881333796731,"POINT(-115.558017001349 32.7881333796731)"
